i,r,t,Value
CoalOldScr,p85,2026,19779275.374293
CoalOldScr,p85,2029,19768989.761942
CoalOldScr,p87,2020,527702.4
CoalOldScr,p87,2023,527702.4
CoalOldScr,p87,2026,527702.4
CoalOldScr,p89,2010,14377057.878655
CoalOldScr,p89,2015,4411673.273458
CoalOldScr,p89,2020,1897153.2
CoalOldScr,p89,2023,1897153.2
CoalOldScr,p89,2026,20762700.833829
CoalOldScr,p89,2029,18074505.268795
CoalOldScr,p90,2010,8471947.151004
CoalOldScr,p90,2015,4259014.896
CoalOldScr,p90,2020,397616.4
CoalOldScr,p90,2023,397616.4
CoalOldScr,p90,2026,5061784.329247
CoalOldScr,p90,2029,3746363.490451
CoalOldScr,p92,2010,17104780.00062
CoalOldScr,p92,2015,16948183.09977
CoalOldScr,p92,2020,15570680.878478
CoalOldScr,p92,2023,16283347.02189
CoalOldScr,p92,2026,16574932.865516
CoalOldScr,p94,2010,39830327.40566
CoalOldScr,p94,2015,23641690.863808
CoalOldScr,p94,2020,4406630.4
CoalOldScr,p94,2023,16364910.408
CoalOldScr,p94,2026,6172690.807659
CoalOldScr,p94,2029,16579809.24
CoalOldScr,p94,2044,174660.508865
CoalOldScr,p94,2047,248965.815042
CoalOldScr,p94,2050,238342.364439
CoalOldScr,p96,2010,15856416.85206
CoalOldScr,p96,2015,10996219.92321
CoalOldScr,p96,2020,1568390.4
CoalOldScr,p96,2023,5256851.272015
CoalOldScr,p96,2026,1568390.4
CoalOldScr,p96,2029,2567551.104397
CoalOldScr,p96,2044,246442.367961
CoalOldScr,p96,2047,296964.0
CoalOldScr,p96,2050,294156.418676
CoalOldScr,p97,2010,9599136.23748
CoalOldScr,p97,2015,8655091.402752
CoalOldScr,p97,2020,632822.4
CoalOldScr,p97,2023,8025447.275808
CoalOldScr,p97,2026,4005405.504
CoalOldScr,p97,2029,6894221.820672
CoalOldScr,p98,2010,14486568.443682
CoalOldScr,p98,2015,10877667.322607
CoalOldScr,p98,2020,1101657.6
CoalOldScr,p98,2023,7875103.716102
CoalOldScr,p98,2026,1101657.6
CoalOldScr,p98,2029,2674905.522
CoalOldScr,p98,2044,99652.297525
CoalOldScr,p98,2047,99652.297525
CoalOldScr,p98,2050,103908.387668
CoalOldScr,p99,2010,721456.47
CoalOldScr,p99,2015,55188.0
CoalOldScr,p99,2020,55188.0
CoalOldScr,z122,2010,24745004.124744
CoalOldScr,z122,2015,21336450.918013
CoalOldScr,z122,2020,4600140.307549
CoalOldScr,z122,2023,13271989.44
CoalOldScr,z122,2026,13378925.065941
CoalOldScr,z122,2029,13674600.0
CoalOldScr,z28,2010,5666358.348
CoalOldScr,z28,2015,5647362.0
CoalOldScr,z28,2020,3029989.308
CoalOldScr,z28,2023,3009868.464
CoalOldScr,z28,2026,2916057.27
CoalOldScr,z28,2029,2751458.403693
coalolduns,p101,2010,2006168.949
coalolduns,p101,2015,1988160.876
coalolduns,p101,2020,154000.8
coalolduns,p101,2023,1969556.841
coalolduns,p101,2026,1890634.068
coalolduns,p101,2029,1990317.063
coalolduns,p101,2044,96215.801792
coalolduns,p101,2047,96215.801792
coalolduns,p101,2050,96215.801792
coalolduns,p103,2010,13610677.774788
coalolduns,p103,2015,13075770.261212
coalolduns,p103,2020,9992540.49821
coalolduns,p105,2010,159360.7536
coalolduns,p105,2015,12193.92
coalolduns,p105,2020,12193.92
coalolduns,p107,2010,6374079.504513
coalolduns,p107,2015,6120048.851564
coalolduns,p107,2020,3440200.31568
coalolduns,p107,2023,224588.88
coalolduns,p107,2026,608417.739072
coalolduns,p107,2029,337997.74608
coalolduns,p108,2010,2431299.968388
coalolduns,p108,2015,1980734.22306
coalolduns,p111,2010,196727.829
coalolduns,p111,2015,15505.2
coalolduns,p111,2020,15505.2
coalolduns,p111,2023,15505.2
coalolduns,p111,2026,15505.2
coalolduns,p111,2029,15505.2
coalolduns,p112,2010,19527728.77704
coalolduns,p112,2015,18800809.13181
coalolduns,p112,2020,10197036.386781
coalolduns,p112,2023,8018793.95733
coalolduns,p112,2026,7983333.69444
coalolduns,p112,2029,8020962.28824
coalolduns,p112,2044,185460.630705
coalolduns,p112,2047,261965.848903
coalolduns,p112,2050,246685.644
coalolduns,p116,2010,11326313.811564
coalolduns,p116,2015,10986039.807831
coalolduns,p116,2020,861721.2
coalolduns,p116,2023,861721.2
coalolduns,p116,2026,861721.2
coalolduns,p116,2029,861721.2
coalolduns,p123,2010,9023404.835701
coalolduns,p123,2015,686959.2
coalolduns,p123,2020,352152.0
coalolduns,p127,2010,3064743.48
coalolduns,p127,2015,233892.0
coalolduns,p127,2020,233892.0
coalolduns,p130,2010,94395.3426
coalolduns,p130,2015,50142.24
coalolduns,p130,2020,50142.24
coalolduns,p130,2023,50142.24
coalolduns,p130,2026,50142.24
coalolduns,p132,2010,1925107.157232
coalolduns,p132,2015,135394.56
coalolduns,p132,2020,135394.56
coalolduns,p24,2010,1361546.898156
coalolduns,p24,2015,1355995.967895
coalolduns,p24,2020,1300084.388964
coalolduns,p24,2023,1254247.495758
coalolduns,p24,2026,1254470.327496
coalolduns,p31,2010,5294905.77
coalolduns,p31,2015,5277393.66
coalolduns,p31,2020,5250551.46
coalolduns,p31,2023,5227761.0
coalolduns,p31,2026,5045312.58
coalolduns,p31,2029,4550741.304781
coalolduns,p33,2010,1230717.006
coalolduns,p33,2015,1226252.925
coalolduns,p33,2020,1177835.394
coalolduns,p33,2023,1174948.482
coalolduns,p33,2026,1177683.96
coalolduns,p34,2010,529309.011
